start	end	text
0	5500	En mi pieza o en el living.
8500	14000	A las dos, porque si estoy en mi pieza, me voy a mi ritmo.
14000	19000	Pero si estoy en el living, estoy con mi mamá y mi mamá como que no, me salga del ritmo y me pone como derecho.
24000	25120	Es la cama.
30000	37000	Esa caní sole porque, si no me…
37000	44500	Ni me.
44500	48000	Si, no se haga keiner vu otra vez.
48500	49680	Só que me
50400	52000	se ha messo isso comi.
52500	56500	No son las horas cúana cuando día!
56500	62380	Sí, igual mixto, mi mamá cocina, ve la tele y yo estuve.
64680	67920	Sí, igual sí, pero la tengo que apagar por algo así.
71880	72920	Con mi mamá.
75660	77060	No, ni para esto.
79720	82680	De las cosas que ella entiende o porque ella no entiende mucho hace un poco.
86500	87720	Sí, pues sí, igual mixto.
93540	97460	Sí, en matemática no, no tengo nada que ver.
103920	109080	En matemática mi papá, pero ya no tengo relación con él y ahí perdí todo.
109080	117500	Sí, pues sí, él es muy mateo en eso, en matemática, es muy bueno en eso, muy, muy, muy.
118640	119300	Pero Chakai.
124280	125540	¿Alguno de los chiquillos sabe?
125540	126380	Un patilla, sabe todo.
128080	128560	Sí.
139080	140080	¿Alguien?
140080	144340	No, no, no, no, no.
144340	144620	¿Alguien?
144620	145480	Si va en casa.
145720	146620	No, no, si va en casa.
150600	151420	Prácticamente sí.
152140	153400	Que no te lo pudieron comprar.
153400	154400	No, algo puedo ver parte porque me olvidé.
154400	184380	No, no, no, no, no, no, no.
185120	187240	Un escritorio sí puede ser también.
189560	191880	Sí, como esto y las piezas sí estaría bueno.
191880	192240	Estaría bueno.
192760	193200	Porque además.
196040	196340	Eh.
198840	199240	¿Cómo?
208240	209040	Mi mamá.
209040	214960	No, porque no me tengo que pegar o que lo haga por ahí y eso.
218560	219440	Sí, por mí llega.
219780	220020	¿Cómo?
220020	247360	No, pues cuando trabajaba llevaba cosas para la casa.
247360	251960	O sea, me compraba mi ropa y eso.
252780	254440	Como que sentir que eres independiente.
254460	255520	Sí, o sea, independiente.
255700	256300	No, no, no.
259700	260100	Sí.
260100	260820	¿Acaso ha sido valiente?
262820	263140	Eh.
277360	296200	Aca?
296200	296280	Ay.
299200	299740	¡Ay!
299740	300300	Hay
300300	308860	Ah, sí, porque eso me encantaría
308860	316060	Sí, porque tenía a alguien y se fue, se enfermó
316060	318080	Y de ahí como que perdí todo
318080	320840	Sí, me ayudaba a ver
329740	344640	¿En regreso?
349040	353360	No, cuando estoy sentado, cuando estoy con el cerebro, ya me relajo mucho
353360	355000	Con niños
355000	357520	No, yo me río, quiero las tallas
357520	358480	¿Y tú eso?
359740	364820	Chico, yo me río
364820	371300	Ah, sí, porque
371300	373140	Sí
373140	384120	Sí, porque se me han ido de forma bien, mal
384120	386000	Traiciones
386000	388280	Sí
389740	394820	Sí, pues el Maxi se fue, se fue al Leona, pero vio y al no
394820	404340	No sé, igual es Mateo, o sea, Mateo, pero no está antes que más que nada lo hace toda la mamá
404340	406840	La mamá lo ayuda a todo
406840	410580	Muy bien
410580	420160	Es que como decía Martina, con otra situación porque él vive con el papá, con la mamá, con la hermana
420160	420780	Claro
420780	421940	Yo vivo solo con mi mamá
421940	423060	Sí, pues distinto
423060	423080	Sí, pues distinto
423080	425240	Entre los...
425240	427240	Sí, pues...
427240	428280	Eso
428280	432020	Es dass...
432020	432360	Eh
432360	434080	No
434080	435320	No
435320	435800	No
435800	437740	No
437740	438260	No
438260	438860	No
438860	438960	Ni
438960	439380	No
439380	440180	No
440180	440840	No
440840	441280	No
