start	end	text
0	2080	Claro, ahí sí, ya empezamos.
3000	6280	Entonces, vamos a hablar un poco de tu experiencia escolar, ¿bien?
6280	11680	Vamos a partir hablando de esto, de... tú puedes sacar los lápices que quieras.
12400	14820	¿Dónde te sientas en tu sala tú? Cuéntame un poquito.
15140	16280	Estoy...
18780	19100	¿Ya?
20940	23180	Puedes dibujar, o sea, los puestos y todo.
23600	26120	¿Y cómo llegaste a ese puesto?
26120	27640	¿Por qué?
29480	29880	¿Ya?
53520	54360	Ah, miren.
54360	57120	Eres como la anfitrión del curso.
58100	58740	Una cosa así.
59740	61740	¿Y te sientes cómodo en ese puesto?
61880	62100	Sí.
62560	62680	¿Te gusta también?
62680	63440	Estoy bastante cómoda.
65900	66380	¿Ya?
71340	73040	Qué bueno, qué bueno.
73520	75560	¿Tienes más de un mejor amigo en el curso?
76320	76640	Sí.
76640	83680	Como mejores amigos.
84100	85620	Tú dijiste, estás con mi mejor amigo cerca.
85760	87320	Y digo, ¿tenes más de un mejor amigo?
87600	87820	Sí.
87820	91500	¿O es que tienes un mejor amigo y el resto son buenos amigos?
91500	92920	A ver.
105240	107840	¿Y te juntas con ellos fuera del colegio también?
108160	108880	¿O solo en el colegio?
112960	114240	¿Visitan sus casas?
114460	114900	Sí, de repente.
114900	119500	Es como una relación más cercana también.
120300	120680	Qué bueno.
124380	126320	¿Y entonces a ti te van cambiando de puesto?
126700	126960	Sí.
126960	129280	O sea, este año has tenido más de un puesto.
132780	133220	Sí.
133220	138160	¿Y por qué me decías que te ponen para ayudar a otras personas?
146620	152500	Pero me llevo bien con...
152500	154200	Tienes una habilidad, ¿cierto?
154500	154720	Sí.
154940	155760	¿Qué es una habilidad?
156080	157820	Poder relacionarse con la gente.
157900	158000	Sí.
159120	159420	Claro.
159980	162000	Es lo que no es que...
162000	164340	Es maravilloso.
164740	168020	Yo creo que esa es una habilidad más positiva que uno puede tener.
169020	170600	Porque al final todo es interacción, ¿no?
170980	172300	Con las personas, súper.
172740	178920	Entonces, tus profes te ponen con estudiantes que no están tan acertados,
179160	180840	que están más solitos, que tienen...
180840	181280	De repente.
183360	185040	Y tú ahí tú los apoyas.
186140	186980	¿Y te gusta apoyar?
190780	191160	Sí.
