start	end	text
0	16140	Estoy al medio
16140	18500	Casi penúltimo atrás
18500	20360	Le puedo marcar como con coordenadas
20360	29280	Están cambiando de puesto
29280	31720	Y la profe me dejó ir con un compañero
31720	33100	Que le está yendo más o menos mal
33100	34300	Así que lo voy a tener que ayudar
34300	36960	Y con él me está yendo bastante bien
36960	39160	Lo doy en matemáticas, en varios trabajos
39160	42140	Pero más o menos por eso
42140	43180	Llega hasta ahí
43180	45380	Porque me han estado poniendo con gente
45380	46100	Para ayudar parece
46100	48580	Porque como soy más social en el tema de
48580	50100	Conversar con gente
50100	53000	Me ponen con los que son nuevos y tal
58100	58760	Cosas así
59280	63440	Estoy bastante cómodo
63440	63800	Estoy con
63800	64760	Estoy con
64760	65280	Estoy con mi mejor amigo
65280	65800	Fernando
65800	67680	Españero
67680	68500	Si nos reímos
68500	69380	Hacemos trabajo juntos
69380	70140	Tenemos buena
70140	71320	Buena química
71320	79240	Pero si
79240	81400	Como
81400	85500	Lo veo
89280	94800	Tengo
94800	95720	De mejor amigo
95720	96840	Creo que tendría el Fernando
96840	97420	Fernando
97420	98640	Felipe López
98640	101060	Y Ignacia Palomini
101060	102300	Ya está ahí
102300	102880	Muy bien
102880	104600	Sos como los que más me relacionan
104600	105800	Y tengo más confianza y cercanía
105800	109400	Con el López
109400	110680	Más o menos
110680	114940	Si de repente
114940	116000	No pueden jugar a la pelota
116000	116880	Con la pelota
116880	117600	Hacemos trabajo
119280	127000	Sí
127000	129900	Sí
129900	131620	Principalmente al medio
131620	132880	No me han cambiado del medio
132880	133900	Simplemente en el medio
133900	138860	Porque
138860	140560	Soy más social
140560	141440	Tengo más
141440	143280	Soy más social en el sentido
143280	144220	De conocer más gente
144220	146280	Y soy buena para agarrar confianza
146280	147240	En el sentido de
147240	150360	No sé cómo
150360	151080	Pero
151080	158740	Soy bastante social
158740	160560	Es lo que no hay gente
160560	160960	De medio
160960	161380	Y de repente
161380	161800	Con los niños
161800	162100	Chivo
176280	178960	Acertado
178960	184000	Sí
184000	190000	Me gusta apoyar
190000	198040	De repente
198040	198720	Hablamos
198720	200080	Doy consejos
200080	201140	Soy buena para dar consejos
201140	202720	Pero nunca para realizarlo
202720	207220	Tengo una vista
207220	207880	Bastante positiva
207880	209080	Para que todo salga bien
209080	211020	Y eso
211020	211560	Principalmente
211560	212220	Yo creo
212220	213720	Excelente
213720	219140	Me parece
219140	222560	Sí
222560	223380	Desde prekinder
223380	225080	Yo fundé este colegio
225080	225980	Con mis propios manos
243720	254400	Tercero y segundo básico
254400	259260	Estaba lleno de cualquier
259260	259900	Cada día
259900	260700	Era algo nuevo
260700	261760	O se peleaban
261760	263040	O sea
263040	264660	El conflicto era constante
264660	265600	Todos nos llevamos
265600	266340	De alguna manera bien
266340	268080	Pero se peleaban de broma
268080	271120	Me acuerdo
271120	272240	Bastante tipos buenos
272240	274040	Tanto como en el colegio
274040	274880	Como fuera el colegio
274880	276600	Habían varias cosas
276600	278240	Me acuerdo que
278240	278840	Teníamos
278840	279600	Entre nosotros
279600	281020	Desde el tercero básico
281020	282320	Teníamos una historia de terror
282320	282780	Porque
282780	284180	Había una casa
284180	285200	Que tenía como una muñeca
285200	285520	Viendo
285520	286600	Decíamos que era una niña
286600	287340	Moderna o algo así
287340	290020	Estábamos chicos
290020	297660	O sea
297660	299580	Actualmente
299580	300800	Más o menos
300800	301480	Pero mío sí
302240	309100	Sexto
309100	311300	Promedio
311300	311960	Se y ocho
311960	312520	Se y nueve
312520	313100	Por ahí
313100	316520	No es que todo
316520	316820	Porque
316820	319240	En ese tiempo
319240	320680	No sé
320680	322060	Me va
322060	330620	No me acuerdo muy bien
330620	331060	El motivo
331060	331400	Pero
331400	332500	Soy bueno para
332500	333680	¿Cómo se llama?
334860	335340	Saber
335340	336840	Tengo buena
336840	339800	Sí, aprendo rápido
339800	341120	Pero principalmente
341120	342060	Con ejemplos
342060	342560	No, no
342560	343200	Soy muy mucho
343200	343760	Que me diga
343760	344320	No, que me muestre
344320	345740	Pero que yo lo haga
345740	347040	Ahí aprendo
347040	347700	Bastante rápido
347700	353860	A mí me sale muy bien
353860	358980	Hasta ahora
358980	362840	Siempre digo
362840	363220	Que el actual
363220	363660	Está malo
363660	364140	El próximo año
364140	364720	Digo que el actual
364720	365240	Está malo
365240	365540	Pero
365540	366580	Así como
366580	367720	De acá
367720	368720	Hasta prekinder
368720	369620	Ni uno ha sido malo
369620	370380	De hecho me acuerdo
370380	370820	Cuando una vez
370820	371240	En prekinder
371240	371680	Me retaron
371680	372260	Porque me cambiaron
372260	372540	De puesto
372540	373100	Y yo fui a pedir
373100	373400	Permiso
373400	373820	Que me cambiaron
373820	374220	De puesto
374220	374780	Y me dijeron
374780	375100	Que sí
375100	376380	Después me retaron
376380	377780	Que me fueran
377780	378220	A mi puesto
378220	380140	Solo
380140	384540	Sí
384540	395540	O sea
395540	396580	¿Pasaste del 6-8?
398580	399420	No, no
399420	399940	Es que
399940	401080	Me fue mal en una
401080	401960	Porque no
401960	402940	No entendí bien
402940	403560	A qué se refería
403560	403880	Que la tía
403880	404200	Porque
404200	405040	Bueno
405040	406000	Mi nota más baja
406000	406600	Fue un 3
406600	407980	Un rojo
407980	409820	Un séptimo
409820	410600	Lenguaje
410600	413040	Promidí 5
413040	413840	Y después
413840	414880	El próximo semestre
414880	415340	Porque ese fue
415340	415980	El primer semestre
415980	416860	El próximo semestre
416860	418680	Del 6-7 para arriba
418680	420720	Ahí como que
420720	421040	Largo
421040	433820	Pasarte un poco
433820	434640	Con mi compañero
434640	436000	Ganan bastante bien
436000	436860	Chistoso
436860	437640	Son buenos
437640	438300	Para los monos
438300	440760	Del colegio
440760	441780	Así como enseñanza
441780	443320	Tiene bastantes tipos
443320	444000	De enseñanza
444000	444620	Son buenos
444620	445580	Bastante variedad
445580	447640	También el hecho
447640	447960	Que hay
447960	448280	De
448280	448940	¿Cómo se llama?
450580	451160	Hay varias
451160	452220	De este tipo
452220	452880	De salas
452880	454420	Esa variedad
454420	455000	Hay bastante
455000	456880	Claro
456880	458600	Y fútbol
458600	459980	Hay tres escolares
459980	461100	Y hay uno de fútbol
461100	461640	Es muy bueno
461640	463320	Gabriela sabe
463320	463720	Lo que es
463720	464580	Y es muy bueno
464580	466340	Me gusta
466340	472720	Juego a la pelota
472720	475960	Sí
475960	475980	Sí
475980	478900	De repente voy
478900	480320	Me con el pasquillo
480320	481800	No voy
481800	482400	No puedo ir mucho
482400	482720	Porque
482720	483940	Mis papás
483940	485000	Trabajan hasta las 8
485000	486580	Y el entrenamiento
486580	488040	Los días martes
488040	488480	Que es justo
488480	488920	Cuando comienza
488920	489760	El entrenamiento acá
489760	492340	Comenzan como a las 6
492340	494000	Y terminan como a las 8
494000	496840	Es que no tengo
496840	497560	Nadie que me lleve
497560	498000	Como tal
498000	499060	¿Te quedas muy lejos?
499260	500080	¿No podés ir solo?
500600	501260	No, no podés
501260	502680	Genial
502680	504100	O sea, no me dejas
504100	504520	Más que todo
504520	511540	O sea, no
511540	512580	Me vienen a dejar
512580	513400	Y me voy en bus
513400	515960	Sí
515960	517380	Voy a dejar a mi padre
517380	518580	Un camioneta celeste
518580	520060	¿Me?
520140	520420	Sí
520420	520740	No
520740	520860	Sí
520860	521780	Sí
521780	521840	Sí
521840	551820	Gracias por ver el video.
551840	557160	¿Qué? No soy bueno para tematizar en cosas malas, no sé, todo me parece bien, pero...
557160	558140	Pero deberá haber algo que nomás.
560660	561360	O sea, ¿qué?
565940	573000	Que ahora los días lunes y miércoles solamente en nuestro curso podemos jugar fútbol, como tal el deporte.
573820	574840	Y los días...
575380	580940	Antes no era así, antes todos podían jugar, pero ahora porque había muchos balonazos y porque ocupaban mucho espacio.
581840	582340	¿Qué?
590740	594840	Sí, uno lo ocupamos para educación física o...
594840	597300	Porque ya podrían jugar...
597300	598840	Ah, eso es como las...
600680	601240	No, dejan.
601900	605020	Queda completamente cerrado la iglesia, que los niños se pueden salir porque hay otras casas para allá.
607640	608480	¿Qué ha pasado que...
611840	613900	A Baza?
614560	614840	Mira.
614980	615820	He escuchado rumores.
616200	617840	No sé quién es, pero fue...
618880	620060	De hecho, mi hermana estaba acá.
620720	621340	En este colegio.
622320	622840	¿Tú, Marco, lo...
623540	624100	Lo conoces?
625380	627240	Creo que estuvo desde primero hasta octavo.
627980	629040	Lo cambiaron a medio.
629200	629840	Van a hacer lo mismo.
630300	631880	Van a cambiar a algún colegio por ahí.
633280	635040	Y te lo meto una vez a buscar un poco por ahí.
639240	640100	O sea, no sé.
641840	647300	Porque hasta lo que tengo extendido, yo me quiero ir a meter a la milicia, a la infantería marina.
647980	648260	Niña.
649700	654900	Y hasta lo que tengo extendido, para eso necesitaría lo más posible.
655160	656520	O sea, como este tipo de colegios.
657880	661980	Que sean de enseñanza más básica, por así decirlo.
662800	663860	O sea, que sean como más variedad.
663860	665180	No es como tanto...
665180	666780	Porque creo que hay tres...
666780	668000	Tres clases de...
668000	670320	¿Cómo se llama?
671560	672420	No, no me acuerdo.
672680	673500	Pero de media.
673840	674560	En la enseñanza.
675460	676480	Uno que era técnico.
677140	678500	O sea, como...
678500	679320	Trabajo laboral.
679520	680000	Empresa.
680820	681980	Otro que era biológico.
683580	683940	Matemático.
684760	685080	Humanista.
686740	688480	Y el otro que era...
688480	689280	Deportes, parece.
689720	690860	Producción física, algo por el estilo.
691200	692000	No me acuerdo muy bien.
692060	692940	El tío Marco lo había explicado.
