start	end	text
0	3540	Ok, cuando estudias en tu casa, ¿dónde estudias?
5760	7700	Ya, ¿y cuál te gusta más, tu pieza o el libro?
20420	20860	Ya
20860	24760	¿Y en tu pieza tienes algún escritorio o en la cama?
25400	26300	Ya, ¿no te da sueño?
26940	27520	Sí, pues sí
27520	31220	Sí, a mí me da un sueño enorme ver en la cama
31220	33100	O sea, de hecho, leo para quedarme a dormir
33100	35960	Sí, pues
35960	38940	Pero entonces estudiar en la cama no me serviría
38940	40900	¿Te rindas más en el living?
42780	43000	Sí
43000	45780	¿Pero es como una mesa en el living o un comedor?
48480	51120	¿Dónde estudias en el... cuando estudias en el...
51120	51600	La mesa
51600	53380	Ah, en el comedor
53380	55500	Ya, y ese es como amplio
55500	56960	Ya
56960	59160	Y compartes esos espacios con tu mamá
59160	62960	Ya
62960	64180	¿No te distrae la tele?
68040	68480	Ya
68480	70400	Qué buena
70400	72180	¿Y alguien que te ayude a estudiar en casa?
73820	74900	¿Es buena para ayudarte?
77420	78420	¿En qué te ayuda más?
82780	83620	Obvio, pues sí
83620	84640	Además ya
84640	86600	Hace tiempo que estudió
86960	90880	Estudiar a...
90880	92920	¿Te sale mejor que lenguaje?
93260	93900	¿Te ayudará más?
93900	94720	Sí, lenguaje
94720	98240	Ya
98240	103040	¿Habría alguien que te gustaría que te ayudara en alguna cosa?
103160	103640	¿En matemática?
103760	104180	Ponte tú
104180	110180	Claro
110180	112760	¿Habría sido bueno que te ayudara en matemática?
112760	112940	Sí
112940	116660	Muy bueno
116660	119960	Bueno, ya
119960	121040	Serán algún otro...
121040	122460	A lo mejor buscar un buen compañero
122460	123720	Que te ayude con matemática
123720	125560	¿Alguno de los chiquillos sabe?
125600	125940	Un padillo
125940	128160	Es que el padillo es bien capo
128160	129280	Sí
129280	130060	Es verdad
130060	132560	Vamos a ver
132560	133180	Entonces
133180	137840	Si necesitas algo como una calculadora
137840	139200	O un computador
139200	140640	O...
140640	140980	No sé
140980	142020	Scotch
142020	142620	Para traer
142620	144240	¿Tienes posibilidades de tenerlo?
144360	145460	¿O es difícil en casa?
146820	147140	Sí
147140	149420	¿Cuándo no los traes?
149480	150180	¿Por qué se te olvida?
151400	151800	Ya
151800	153400	No es porque no te lo pudieron comprar
153400	154880	Ok
154880	155360	Ya
155360	155940	Está bien
155940	157400	Y...
157400	161280	¿Alguna cosa que te gustaría cambiar en casa?
161660	163420	Para poder estudiar mejor
163420	166360	O algo que te gustaría mejorar
166360	176220	No, no sabes
176220	176900	Si hay algo en casa
176900	178280	Quizás no es nada en casa, ¿no?
178820	179700	¿Está todo bien en casa?
179880	180700	¿Cómo poder estudiar?
181520	181660	Sí
181660	182920	¿Más luz?
183060	184020	¿Otro escritorio?
187860	189440	Quizás un escritorio en tu pieza
189440	192620	Estaría bueno, ¿no?
192720	194600	Porque además te permitiría tu ritmo
194600	195680	Pero no estar acostado
196360	197280	Cierto
197280	198640	Así no te quedas dormido
198640	199580	Como yo
199580	200900	Ok
200900	203500	¿Alguno de tu familia
203500	204400	Que te impulse
204400	204740	Te diga
204740	205200	Ya vos
205200	206600	Estudiar, Javier
206600	208240	Ponte las pilas, Javier
208240	209580	Ya
209580	211020	¿Y qué te dice?
215200	215760	Ya
215760	218500	¿Y te llega eso?
221500	222580	Bueno, está bien
222580	223420	Ojalá que se pueda
223420	225900	Oye, ya
225900	226740	Cosas buenas
226740	229160	Algún momento
229160	230300	Alguna situación
230300	231220	Algún evento
231220	232260	En que hayas sentido
232260	232700	Que eras
232700	234200	Genial
234200	235380	Orgullo de ti
235380	237160	Alguno que hayas sentido
237160	239480	Cualquiera
239480	240300	Que te hayas sentido
240300	240680	Así como
240680	242320	Me pasé
242320	243160	Lo logré
243160	244300	O bacán
244300	249040	Ay, qué buena
249040	254460	Como que sentir que eras independiente
254460	254820	Sí, o sea
255900	258220	Qué bueno
258220	259040	Y te gusta
259040	259660	Llevar cosas
259660	260120	Para la casa
260120	260320	Sí
260320	261220	O para la once
261220	262580	Comprar el pan
262580	264640	Buenísimo
264640	266120	Sí, eso es muy bueno
266120	267240	Qué bueno
267240	268080	Ya
268080	268860	¿Alguna actividad
268860	269800	En el colegio?
270600	271120	Asignatura
271120	272020	O fuera del colegio
272020	273340	Como una salida
273340	274020	Del colegio
274020	275140	En que te haya gustado
275140	276120	Mucho hacerla
276120	276660	Pero que además
276660	277500	Hayas aprendido
277500	279820	No
279820	282020	Ninguna en particular
282020	283580	¿Sientes que no aprendes mucho?
283580	283700	No
285900	286840	¿Aprenderías mejor
286840	287640	En otro colegio?
298120	299600	Alguna clase particular
299600	300940	Ahí aprenderías
300940	303320	Quizás podría haber
303320	304840	Alguna atención particular
304840	306220	Pero aquí en el colegio
306220	307460	Quizás en otro horario
307460	307880	Ah, sí
307880	310660	Como que alguien que te ayudara
310660	311860	Ponte tú con matemática
311860	312840	O con lenguaje
312840	313200	Sí, bueno
315900	319780	Y te ayudaba eso, ¿no?
320560	320860	Sí
320860	322020	Sí
322020	322980	Es que a veces
322980	324140	Hay algunos profesores
324140	324840	Que tienen hora
324840	326240	Para poder ayudar
326240	327960	Y eso estaría bueno
327960	331200	Bueno
331200	334120	De todo el periodo
334120	334580	De la escuela
334580	335420	¿Cuál ha sido
335420	336300	El periodo en que
336300	337140	O el momento
337140	338200	En que has sentido
338200	339680	Que es el mejor
339680	340420	O
340420	341620	Que has sentido
341620	342760	Que has logrado algo
342760	343420	¿Cuál ha sido
345900	347600	Y particularmente
347600	348660	Cuando juega la pelota
348660	349260	En el recreo
349260	355000	Conversas con ellos
355000	359880	Quizás eso
359880	360480	Es lo que más
360480	361520	Aprendido en el colegio
361520	361680	¿No?
361720	362440	Tener amigos
362440	363200	Cuidarlos
363200	364580	Sí
364580	365480	Sí
365480	367860	Es bueno tener amigos
367860	369900	Y cuidarlos amigos
